,Image,Artist,Work,CP Hex1,CP Hex2,CP Hex3,CP Hex4,CP Hex5,CP Hex6,Image_Category,Unique_Color
62,https://en.most-famous-paintings.com/Art.nsf/O/8BWNDQ/$File/Jean_Joseph_Benjamin_Constant-The_Throne_Room_In_Byzantium-S.jpg,Jean-Joseph Constant (Benjamin-Constant), The Throne Room In Byzantium ,#7b5936,#c69f6c,#402817,#cfcdd7,#2e1317,#a87f50,Brownish,#c23b2d
63,https://en.most-famous-paintings.com/Art.nsf/O/8XXPEQ/$File/August-Macke-Woman-in-a-Green-Jacket-S.jpg,August Macke, Woman in a Green Jacket ,#694425,#e17f35,#2e7f44,#aeaf58,#312d3c,#6981a0,Brownish,#c1214e
64,https://en.most-famous-paintings.com/Art.nsf/O/8XZ6M6/$File/Wassily-Kandinsky-Improvisation.-Gorge-S.JPG,Wassily Kandinsky, Improvisation. Gorge ,#909da7,#2d3c46,#694e5a,#a49769,#5d4933,#d1cebb,Yellowish,#ad3305
65,https://en.most-famous-paintings.com/Art.nsf/O/8XZE6F/$File/Albrecht-Durer-Young-Hare-S.JPG,Albrecht Durer, Young Hare ,#987a55,#f4e4d3,#4f3924,#b9a183,#dac7b1,#74593a,Brownish,
66,https://en.most-famous-paintings.com/Art.nsf/O/5ZKCA2/$File/Edouard-Manet-A-Bar-at-the-Folies-Bergere-S.jpg,Edouard Manet, A Bar at the Folies-Bergere ,#3b3134,#846a56,#a4a9af,#c8b9a7,#1e1713,#16191b,Brownish,#4ddf03
67,https://en.most-famous-paintings.com/Art.nsf/O/8YDF5J/$File/Georges-Braque-Mandola-S.jpg,Georges Braque, Mandola ,#9a9d87,#253236,#ccccb1,#687a78,#acbab7,#5a6152,Blackish,#79ef20
68,https://en.most-famous-paintings.com/Art.nsf/O/8XZ55L/$File/Vincent-Van-Gogh-Portrait-of-Patience-Escalier-2--S.JPG,Vincent Van Gogh, Portrait of Patience Escalier ,#7e5937,#f0a743,#4e725b,#202f35,#426275,#342515,Blueish,
69,https://en.most-famous-paintings.com/Art.nsf/O/8LT57A/$File/Pieter-Bruegel-The-Younger-The-Battle-between-Lent-and-Carnival-S.jpg,Pieter Bruegel The Younger, The Battle between Lent and Carnival ,#301e11,#857351,#222619,#26171a,#b9aa85,#58432c,Blackish,#c3493a
70,https://en.most-famous-paintings.com/Art.nsf/O/8Y3LTX/$File/Jean-Antoine-Watteau-Gilles-2--S.JPG,Jean Antoine Watteau, Gilles ,#957446,#0c0c0f,#2c211b,#cbb079,#181114,#5a513b,Brownish,#a1625b
71,https://en.most-famous-paintings.com/Art.nsf/O/8LJ3BW/$File/Henri-Rousseau-Sleeping-Gypsy-S.JPG,Henri Julien Félix Rousseau (Le Douanier), Sleeping Gypsy ,#3e2114,#3a567b,#897047,#bab488,#5788a8,#210d10,Brownish,#03bd8e
